home,visitor,game_date,Schedule Type,League,Schedule
Los Angeles Clippers,Sacramento Kings,2021-02-07,Planned,NBA,Planned
Chicago Bulls,Washington Wizards,2021-02-08,Planned,NBA,Planned
Denver Nuggets,Milwaukee Bucks,2021-02-08,Planned,NBA,Planned
Phoenix Suns,Cleveland Cavaliers,2021-02-08,Planned,NBA,Planned
San Antonio Spurs,Golden State Warriors,2021-02-08,Planned,NBA,Planned
Dallas Mavericks,Minnesota Timberwolves,2021-02-08,Planned,NBA,Planned
Memphis Grizzlies,Toronto Raptors,2021-02-08,Planned,NBA,Planned
Charlotte Hornets,Houston Rockets,2021-02-08,Planned,NBA,Planned
Los Angeles Lakers,Oklahoma City Thunder,2021-02-08,Planned,NBA,Planned
Utah Jazz,Boston Celtics,2021-02-09,Planned,NBA,Planned
Sacramento Kings,Philadelphia 76ers,2021-02-09,Planned,NBA,Planned
Portland Trail Blazers,Orlando Magic,2021-02-09,Planned,NBA,Planned
San Antonio Spurs,Golden State Warriors,2021-02-09,Planned,NBA,Planned
New Orleans Pelicans,Houston Rockets,2021-02-09,Planned,NBA,Planned
Miami Heat,New York Knicks,2021-02-09,Planned,NBA,Planned
Detroit Pistons,Brooklyn Nets,2021-02-09,Planned,NBA,Planned
Memphis Grizzlies,Charlotte Hornets,2021-02-10,Planned,NBA,Planned
Washington Wizards,Toronto Raptors,2021-02-10,Planned,NBA,Planned
Dallas Mavericks,Atlanta Hawks,2021-02-10,Planned,NBA,Planned
Brooklyn Nets,Indiana Pacers,2021-02-10,Planned,NBA,Planned
Minnesota Timberwolves,Los Angeles Clippers,2021-02-10,Planned,NBA,Planned
Chicago Bulls,New Orleans Pelicans,2021-02-10,Planned,NBA,Planned
Denver Nuggets,Cleveland Cavaliers,2021-02-10,Planned,NBA,Planned
Los Angeles Lakers,Oklahoma City Thunder,2021-02-10,Planned,NBA,Planned
Phoenix Suns,Milwaukee Bucks,2021-02-10,Planned,NBA,Planned
Houston Rockets,Miami Heat,2021-02-11,Planned,NBA,Planned
Boston Celtics,Toronto Raptors,2021-02-11,Planned,NBA,Planned
Detroit Pistons,Indiana Pacers,2021-02-11,Planned,NBA,Planned
Golden State Warriors,Orlando Magic,2021-02-11,Planned,NBA,Planned
Portland Trail Blazers,Philadelphia 76ers,2021-02-11,Planned,NBA,Planned
Denver Nuggets,Oklahoma City Thunder,2021-02-12,Planned,NBA,Planned
Chicago Bulls,Los Angeles Clippers,2021-02-12,Planned,NBA,Planned
Boston Celtics,Detroit Pistons,2021-02-12,Planned,NBA,Planned
Portland Trail Blazers,Cleveland Cavaliers,2021-02-12,Planned,NBA,Planned
Atlanta Hawks,San Antonio Spurs,2021-02-12,Planned,NBA,Planned
Charlotte Hornets,Minnesota Timberwolves,2021-02-12,Planned,NBA,Planned
Utah Jazz,Milwaukee Bucks,2021-02-12,Planned,NBA,Planned
Dallas Mavericks,New Orleans Pelicans,2021-02-12,Planned,NBA,Planned
Los Angeles Lakers,Memphis Grizzlies,2021-02-12,Planned,NBA,Planned
Washington Wizards,New York Knicks,2021-02-12,Planned,NBA,Planned
Sacramento Kings,Orlando Magic,2021-02-12,Planned,NBA,Planned
Phoenix Suns,Philadelphia 76ers,2021-02-13,Planned,NBA,Planned
Atlanta Hawks,Indiana Pacers,2021-02-13,Planned,NBA,Planned
New York Knicks,Houston Rockets,2021-02-13,Planned,NBA,Planned
Golden State Warriors,Brooklyn Nets,2021-02-13,Planned,NBA,Planned
Utah Jazz,Miami Heat,2021-02-13,Planned,NBA,Planned
Toronto Raptors,Minnesota Timberwolves,2021-02-14,Planned,NBA,Planned
Sacramento Kings,Memphis Grizzlies,2021-02-14,Planned,NBA,Planned
Los Angeles Clippers,Cleveland Cavaliers,2021-02-14,Planned,NBA,Planned
Denver Nuggets,Los Angeles Lakers,2021-02-14,Planned,NBA,Planned
Phoenix Suns,Orlando Magic,2021-02-14,Planned,NBA,Planned
Oklahoma City Thunder,Milwaukee Bucks,2021-02-14,Planned,NBA,Planned
Dallas Mavericks,Portland Trail Blazers,2021-02-14,Planned,NBA,Planned
Detroit Pistons,New Orleans Pelicans,2021-02-14,Planned,NBA,Planned
Charlotte Hornets,San Antonio Spurs,2021-02-14,Planned,NBA,Planned
Washington Wizards,Boston Celtics,2021-02-14,Planned,NBA,Planned
Sacramento Kings,Brooklyn Nets,2021-02-15,Planned,NBA,Planned
Indiana Pacers,Chicago Bulls,2021-02-15,Planned,NBA,Planned
Washington Wizards,Houston Rockets,2021-02-15,Planned,NBA,Planned
New York Knicks,Atlanta Hawks,2021-02-15,Planned,NBA,Planned
Utah Jazz,Philadelphia 76ers,2021-02-15,Planned,NBA,Planned
Golden State Warriors,Cleveland Cavaliers,2021-02-15,Planned,NBA,Planned
Los Angeles Clippers,Miami Heat,2021-02-15,Planned,NBA,Planned
Detroit Pistons,San Antonio Spurs,2021-02-16,Planned,NBA,Planned
Boston Celtics,Denver Nuggets,2021-02-16,Planned,NBA,Planned
Memphis Grizzlies,New Orleans Pelicans,2021-02-16,Planned,NBA,Planned
Milwaukee Bucks,Toronto Raptors,2021-02-16,Planned,NBA,Planned
Minnesota Timberwolves,Los Angeles Lakers,2021-02-16,Planned,NBA,Planned
Oklahoma City Thunder,Portland Trail Blazers,2021-02-16,Planned,NBA,Planned
Phoenix Suns,Brooklyn Nets,2021-02-16,Planned,NBA,Planned
Chicago Bulls,Detroit Pistons,2021-02-17,Planned,NBA,Planned
Golden State Warriors,Miami Heat,2021-02-17,Planned,NBA,Planned
Charlotte Hornets,Chicago Bulls,2021-02-17,Planned,NBA,Planned
New Orleans Pelicans,Portland Trail Blazers,2021-02-17,Planned,NBA,Planned
Memphis Grizzlies,Oklahoma City Thunder,2021-02-17,Planned,NBA,Planned
Washington Wizards,Denver Nuggets,2021-02-17,Planned,NBA,Planned
Minnesota Timberwolves,Indiana Pacers,2021-02-17,Planned,NBA,Planned
Dallas Mavericks,Detroit Pistons,2021-02-17,Planned,NBA,Planned
Philadelphia 76ers,Houston Rockets,2021-02-17,Planned,NBA,Planned
Los Angeles Clippers,Utah Jazz,2021-02-17,Planned,NBA,Planned
Boston Celtics,Atlanta Hawks,2021-02-17,Planned,NBA,Planned
Orlando Magic,New York Knicks,2021-02-17,Planned,NBA,Planned
Cleveland Cavaliers,San Antonio Spurs,2021-02-17,Planned,NBA,Planned
Los Angeles Lakers,Brooklyn Nets,2021-02-18,Planned,NBA,Planned
Sacramento Kings,Miami Heat,2021-02-18,Planned,NBA,Planned
Milwaukee Bucks,Toronto Raptors,2021-02-18,Planned,NBA,Planned
Cleveland Cavaliers,Denver Nuggets,2021-02-19,Planned,NBA,Planned
Memphis Grizzlies,Detroit Pistons,2021-02-19,Planned,NBA,Planned
Orlando Magic,Golden State Warriors,2021-02-19,Planned,NBA,Planned
Houston Rockets,Dallas Mavericks,2021-02-19,Planned,NBA,Planned
Charlotte Hornets,Denver Nuggets,2021-02-19,Planned,NBA,Planned
Philadelphia 76ers,Chicago Bulls,2021-02-19,Planned,NBA,Planned
New Orleans Pelicans,Phoenix Suns,2021-02-19,Planned,NBA,Planned
Minnesota Timberwolves,Toronto Raptors,2021-02-19,Planned,NBA,Planned
Milwaukee Bucks,Oklahoma City Thunder,2021-02-19,Planned,NBA,Planned
Los Angeles Clippers,Utah Jazz,2021-02-19,Planned,NBA,Planned
Boston Celtics,Atlanta Hawks,2021-02-19,Planned,NBA,Planned
New York Knicks,San Antonio Spurs,2021-02-20,Planned,NBA,Planned
Los Angeles Lakers,Miami Heat,2021-02-20,Planned,NBA,Planned
Chicago Bulls,Sacramento Kings,2021-02-20,Planned,NBA,Planned
Memphis Grizzlies,Phoenix Suns,2021-02-20,Planned,NBA,Planned
Portland Trail Blazers,Washington Wizards,2021-02-20,Planned,NBA,Planned
Houston Rockets,Indiana Pacers,2021-02-20,Planned,NBA,Planned
Charlotte Hornets,Golden State Warriors,2021-02-20,Planned,NBA,Planned
New Orleans Pelicans,Boston Celtics,2021-02-21,Planned,NBA,Planned
Cleveland Cavaliers,Oklahoma City Thunder,2021-02-21,Planned,NBA,Planned
Orlando Magic,Detroit Pistons,2021-02-21,Planned,NBA,Planned
Atlanta Hawks,Denver Nuggets,2021-02-21,Planned,NBA,Planned
Los Angeles Clippers,Brooklyn Nets,2021-02-21,Planned,NBA,Planned
Milwaukee Bucks,Sacramento Kings,2021-02-21,Planned,NBA,Planned
Toronto Raptors,Philadelphia 76ers,2021-02-21,Planned,NBA,Planned
New York Knicks,Minnesota Timberwolves,2021-02-21,Planned,NBA,Planned
Los Angeles Lakers,Washington Wizards,2021-02-22,Planned,NBA,Planned
Indiana Pacers,San Antonio Spurs,2021-02-22,Planned,NBA,Planned
Houston Rockets,Chicago Bulls,2021-02-22,Planned,NBA,Planned
Dallas Mavericks,Memphis Grizzlies,2021-02-22,Planned,NBA,Planned
Oklahoma City Thunder,Miami Heat,2021-02-22,Planned,NBA,Planned
Phoenix Suns,Portland Trail Blazers,2021-02-22,Planned,NBA,Planned
Utah Jazz,Charlotte Hornets,2021-02-22,Planned,NBA,Planned
Toronto Raptors,Philadelphia 76ers,2021-02-23,Planned,NBA,Planned
New York Knicks,Golden State Warriors,2021-02-23,Planned,NBA,Planned
Cleveland Cavaliers,Atlanta Hawks,2021-02-23,Planned,NBA,Planned
Dallas Mavericks,Boston Celtics,2021-02-23,Planned,NBA,Planned
Orlando Magic,Detroit Pistons,2021-02-23,Planned,NBA,Planned
Brooklyn Nets,Sacramento Kings,2021-02-23,Planned,NBA,Planned
Milwaukee Bucks,Minnesota Timberwolves,2021-02-23,Planned,NBA,Planned
Denver Nuggets,Portland Trail Blazers,2021-02-23,Planned,NBA,Planned
Los Angeles Clippers,Washington Wizards,2021-02-23,Planned,NBA,Planned
Chicago Bulls,Minnesota Timberwolves,2021-02-24,Planned,NBA,Planned
Atlanta Hawks,Boston Celtics,2021-02-24,Planned,NBA,Planned
New Orleans Pelicans,Detroit Pistons,2021-02-24,Planned,NBA,Planned
Oklahoma City Thunder,San Antonio Spurs,2021-02-24,Planned,NBA,Planned
Phoenix Suns,Charlotte Hornets,2021-02-24,Planned,NBA,Planned
Utah Jazz,Los Angeles Lakers,2021-02-24,Planned,NBA,Planned
Cleveland Cavaliers,Houston Rockets,2021-02-24,Planned,NBA,Planned
Miami Heat,Toronto Raptors,2021-02-24,Planned,NBA,Planned
Indiana Pacers,Golden State Warriors,2021-02-24,Planned,NBA,Planned
Philadelphia 76ers,Dallas Mavericks,2021-02-25,Planned,NBA,Planned
Brooklyn Nets,Orlando Magic,2021-02-25,Planned,NBA,Planned
New York Knicks,Sacramento Kings,2021-02-25,Planned,NBA,Planned
Denver Nuggets,Washington Wizards,2021-02-25,Planned,NBA,Planned
Memphis Grizzlies,Los Angeles Clippers,2021-02-25,Planned,NBA,Planned
Milwaukee Bucks,New Orleans Pelicans,2021-02-25,Planned,NBA,Planned
Boston Celtics,Indiana Pacers,2021-02-26,Planned,NBA,Planned
Chicago Bulls,Phoenix Suns,2021-02-26,Planned,NBA,Planned
Detroit Pistons,Sacramento Kings,2021-02-26,Planned,NBA,Planned
Memphis Grizzlies,Los Angeles Clippers,2021-02-26,Planned,NBA,Planned
Miami Heat,Utah Jazz,2021-02-26,Planned,NBA,Planned
Oklahoma City Thunder,Atlanta Hawks,2021-02-26,Planned,NBA,Planned
Golden State Warriors,Charlotte Hornets,2021-02-26,Planned,NBA,Planned
Los Angeles Lakers,Portland Trail Blazers,2021-02-26,Planned,NBA,Planned
Toronto Raptors,Houston Rockets,2021-02-26,Planned,NBA,Planned
Orlando Magic,Utah Jazz,2021-02-27,Planned,NBA,Planned
Philadelphia 76ers,Cleveland Cavaliers,2021-02-27,Planned,NBA,Planned
Washington Wizards,Minnesota Timberwolves,2021-02-27,Planned,NBA,Planned
Brooklyn Nets,Dallas Mavericks,2021-02-27,Planned,NBA,Planned
New York Knicks,Indiana Pacers,2021-02-27,Planned,NBA,Planned
Oklahoma City Thunder,Denver Nuggets,2021-02-27,Planned,NBA,Planned
San Antonio Spurs,New Orleans Pelicans,2021-02-27,Planned,NBA,Planned
Toronto Raptors,Chicago Bulls,2021-02-28,Planned,NBA,Planned
Los Angeles Lakers,Golden State Warriors,2021-02-28,Planned,NBA,Planned
Milwaukee Bucks,Los Angeles Clippers,2021-02-28,Planned,NBA,Planned
Boston Celtics,Washington Wizards,2021-02-28,Planned,NBA,Planned
Detroit Pistons,New York Knicks,2021-02-28,Planned,NBA,Planned
Houston Rockets,Memphis Grizzlies,2021-02-28,Planned,NBA,Planned
Miami Heat,Atlanta Hawks,2021-02-28,Planned,NBA,Planned
Minnesota Timberwolves,Phoenix Suns,2021-02-28,Planned,NBA,Planned
Sacramento Kings,Charlotte Hornets,2021-02-28,Planned,NBA,Planned
Philadelphia 76ers,Indiana Pacers,2021-03-01,Planned,NBA,Planned
Orlando Magic,Dallas Mavericks,2021-03-01,Planned,NBA,Planned
Chicago Bulls,Denver Nuggets,2021-03-01,Planned,NBA,Planned
New Orleans Pelicans,Utah Jazz,2021-03-01,Planned,NBA,Planned
San Antonio Spurs,Brooklyn Nets,2021-03-01,Planned,NBA,Planned
Houston Rockets,Cleveland Cavaliers,2021-03-01,Planned,NBA,Planned
Portland Trail Blazers,Charlotte Hornets,2021-03-01,Planned,NBA,Planned
Boston Celtics,Los Angeles Clippers,2021-03-02,Planned,NBA,Planned
Los Angeles Lakers,Phoenix Suns,2021-03-02,Planned,NBA,Planned
Miami Heat,Atlanta Hawks,2021-03-02,Planned,NBA,Planned
Washington Wizards,Memphis Grizzlies,2021-03-02,Planned,NBA,Planned
Milwaukee Bucks,Denver Nuggets,2021-03-02,Planned,NBA,Planned
San Antonio Spurs,New York Knicks,2021-03-02,Planned,NBA,Planned
Toronto Raptors,Detroit Pistons,2021-03-02,Planned,NBA,Planned
Cleveland Cavaliers,Indiana Pacers,2021-03-03,Planned,NBA,Planned
Portland Trail Blazers,Golden State Warriors,2021-03-03,Planned,NBA,Planned
Dallas Mavericks,Oklahoma City Thunder,2021-03-03,Planned,NBA,Planned
Orlando Magic,Atlanta Hawks,2021-03-03,Planned,NBA,Planned
Sacramento Kings,Los Angeles Lakers,2021-03-03,Planned,NBA,Planned
Minnesota Timberwolves,Charlotte Hornets,2021-03-03,Planned,NBA,Planned
Houston Rockets,Brooklyn Nets,2021-03-03,Planned,NBA,Planned
Philadelphia 76ers,Utah Jazz,2021-03-03,Planned,NBA,Planned
New Orleans Pelicans,Chicago Bulls,2021-03-03,Planned,NBA,Planned
Washington Wizards,Los Angeles Clippers,2021-03-04,Planned,NBA,Planned
Portland Trail Blazers,Sacramento Kings,2021-03-04,Planned,NBA,Planned
Boston Celtics,Toronto Raptors,2021-03-04,Planned,NBA,Planned
San Antonio Spurs,Oklahoma City Thunder,2021-03-04,Planned,NBA,Planned
New Orleans Pelicans,Miami Heat,2021-03-04,Planned,NBA,Planned
Memphis Grizzlies,Milwaukee Bucks,2021-03-04,Planned,NBA,Planned
Indiana Pacers,Denver Nuggets,2021-03-04,Planned,NBA,Planned
New York Knicks,Detroit Pistons,2021-03-04,Planned,NBA,Planned
Dallas Mavericks,San Antonio Spurs,2021-03-10,Planned,NBA,Planned
Memphis Grizzlies,Washington Wizards,2021-03-10,Planned,NBA,Planned
Miami Heat,Orlando Magic,2021-03-11,Planned,NBA,Planned
Toronto Raptors,Atlanta Hawks,2021-03-11,Planned,NBA,Planned
Charlotte Hornets,Detroit Pistons,2021-03-11,Planned,NBA,Planned
Brooklyn Nets,Boston Celtics,2021-03-11,Planned,NBA,Planned
Sacramento Kings,Houston Rockets,2021-03-11,Planned,NBA,Planned
Portland Trail Blazers,Phoenix Suns,2021-03-11,Planned,NBA,Planned
Los Angeles Clippers,Golden State Warriors,2021-03-11,Planned,NBA,Planned
Oklahoma City Thunder,Dallas Mavericks,2021-03-11,Planned,NBA,Planned
New Orleans Pelicans,Minnesota Timberwolves,2021-03-11,Planned,NBA,Planned
Milwaukee Bucks,New York Knicks,2021-03-11,Planned,NBA,Planned
Chicago Bulls,Philadelphia 76ers,2021-03-11,Planned,NBA,Planned
Los Angeles Lakers,Indiana Pacers,2021-03-12,Planned,NBA,Planned
San Antonio Spurs,Orlando Magic,2021-03-12,Planned,NBA,Planned
Utah Jazz,Houston Rockets,2021-03-12,Planned,NBA,Planned
New Orleans Pelicans,Cleveland Cavaliers,2021-03-12,Planned,NBA,Planned
Washington Wizards,Philadelphia 76ers,2021-03-12,Planned,NBA,Planned
Chicago Bulls,Miami Heat,2021-03-12,Planned,NBA,Planned
Memphis Grizzlies,Denver Nuggets,2021-03-12,Planned,NBA,Planned
Oklahoma City Thunder,New York Knicks,2021-03-13,Planned,NBA,Planned
Brooklyn Nets,Detroit Pistons,2021-03-13,Planned,NBA,Planned
Charlotte Hornets,Toronto Raptors,2021-03-13,Planned,NBA,Planned
Washington Wizards,Milwaukee Bucks,2021-03-13,Planned,NBA,Planned
Atlanta Hawks,Sacramento Kings,2021-03-13,Planned,NBA,Planned
Minnesota Timberwolves,Portland Trail Blazers,2021-03-13,Planned,NBA,Planned
Denver Nuggets,Dallas Mavericks,2021-03-13,Planned,NBA,Planned
Oklahoma City Thunder,Memphis Grizzlies,2021-03-14,Planned,NBA,Planned
Houston Rockets,Boston Celtics,2021-03-14,Planned,NBA,Planned
Golden State Warriors,Utah Jazz,2021-03-14,Planned,NBA,Planned
Philadelphia 76ers,San Antonio Spurs,2021-03-14,Planned,NBA,Planned
Minnesota Timberwolves,Portland Trail Blazers,2021-03-14,Planned,NBA,Planned
Orlando Magic,Miami Heat,2021-03-14,Planned,NBA,Planned
Chicago Bulls,Toronto Raptors,2021-03-14,Planned,NBA,Planned
New Orleans Pelicans,Los Angeles Clippers,2021-03-14,Planned,NBA,Planned
Atlanta Hawks,Cleveland Cavaliers,2021-03-14,Planned,NBA,Planned
Golden State Warriors,Los Angeles Lakers,2021-03-15,Planned,NBA,Planned
Dallas Mavericks,Los Angeles Clippers,2021-03-15,Planned,NBA,Planned
Washington Wizards,Milwaukee Bucks,2021-03-15,Planned,NBA,Planned
Denver Nuggets,Indiana Pacers,2021-03-15,Planned,NBA,Planned
Phoenix Suns,Memphis Grizzlies,2021-03-15,Planned,NBA,Planned
Charlotte Hornets,Sacramento Kings,2021-03-15,Planned,NBA,Planned
Brooklyn Nets,New York Knicks,2021-03-15,Planned,NBA,Planned
Boston Celtics,Utah Jazz,2021-03-16,Planned,NBA,Planned
Miami Heat,Cleveland Cavaliers,2021-03-16,Planned,NBA,Planned
Philadelphia 76ers,New York Knicks,2021-03-16,Planned,NBA,Planned
Portland Trail Blazers,New Orleans Pelicans,2021-03-16,Planned,NBA,Planned
Los Angeles Lakers,Minnesota Timberwolves,2021-03-16,Planned,NBA,Planned
Chicago Bulls,Oklahoma City Thunder,2021-03-16,Planned,NBA,Planned
Houston Rockets,Atlanta Hawks,2021-03-16,Planned,NBA,Planned
Memphis Grizzlies,Miami Heat,2021-03-17,Planned,NBA,Planned
Denver Nuggets,Charlotte Hornets,2021-03-17,Planned,NBA,Planned
Washington Wizards,Sacramento Kings,2021-03-17,Planned,NBA,Planned
Houston Rockets,Golden State Warriors,2021-03-17,Planned,NBA,Planned
Chicago Bulls,San Antonio Spurs,2021-03-17,Planned,NBA,Planned
Dallas Mavericks,Los Angeles Clippers,2021-03-17,Planned,NBA,Planned
Detroit Pistons,Toronto Raptors,2021-03-17,Planned,NBA,Planned
Indiana Pacers,Brooklyn Nets,2021-03-17,Planned,NBA,Planned
Cleveland Cavaliers,Boston Celtics,2021-03-17,Planned,NBA,Planned
Philadelphia 76ers,Milwaukee Bucks,2021-03-17,Planned,NBA,Planned
Atlanta Hawks,Oklahoma City Thunder,2021-03-18,Planned,NBA,Planned
Phoenix Suns,Minnesota Timberwolves,2021-03-18,Planned,NBA,Planned
Portland Trail Blazers,New Orleans Pelicans,2021-03-18,Planned,NBA,Planned
New York Knicks,Orlando Magic,2021-03-18,Planned,NBA,Planned
Los Angeles Lakers,Charlotte Hornets,2021-03-18,Planned,NBA,Planned
Denver Nuggets,Chicago Bulls,2021-03-19,Planned,NBA,Planned
Memphis Grizzlies,Golden State Warriors,2021-03-19,Planned,NBA,Planned
Miami Heat,Indiana Pacers,2021-03-19,Planned,NBA,Planned
Orlando Magic,Brooklyn Nets,2021-03-19,Planned,NBA,Planned
Toronto Raptors,Utah Jazz,2021-03-19,Planned,NBA,Planned
Phoenix Suns,Minnesota Timberwolves,2021-03-19,Planned,NBA,Planned
Boston Celtics,Sacramento Kings,2021-03-19,Planned,NBA,Planned
Houston Rockets,Detroit Pistons,2021-03-19,Planned,NBA,Planned
Portland Trail Blazers,Dallas Mavericks,2021-03-19,Planned,NBA,Planned
Memphis Grizzlies,Golden State Warriors,2021-03-20,Planned,NBA,Planned
Philadelphia 76ers,Sacramento Kings,2021-03-20,Planned,NBA,Planned
Milwaukee Bucks,San Antonio Spurs,2021-03-20,Planned,NBA,Planned
Los Angeles Clippers,Charlotte Hornets,2021-03-20,Planned,NBA,Planned
Los Angeles Lakers,Atlanta Hawks,2021-03-20,Planned,NBA,Planned
New York Knicks,Philadelphia 76ers,2021-03-21,Planned,NBA,Planned
Portland Trail Blazers,Dallas Mavericks,2021-03-21,Planned,NBA,Planned
Miami Heat,Indiana Pacers,2021-03-21,Planned,NBA,Planned
Denver Nuggets,New Orleans Pelicans,2021-03-21,Planned,NBA,Planned
Brooklyn Nets,Washington Wizards,2021-03-21,Planned,NBA,Planned
Phoenix Suns,Los Angeles Lakers,2021-03-21,Planned,NBA,Planned
Cleveland Cavaliers,Toronto Raptors,2021-03-21,Planned,NBA,Planned
Detroit Pistons,Chicago Bulls,2021-03-21,Planned,NBA,Planned
Chicago Bulls,Utah Jazz,2021-03-22,Planned,NBA,Planned
Memphis Grizzlies,Boston Celtics,2021-03-22,Planned,NBA,Planned
Cleveland Cavaliers,Sacramento Kings,2021-03-22,Planned,NBA,Planned
Minnesota Timberwolves,Oklahoma City Thunder,2021-03-22,Planned,NBA,Planned
San Antonio Spurs,Charlotte Hornets,2021-03-22,Planned,NBA,Planned
Milwaukee Bucks,Indiana Pacers,2021-03-22,Planned,NBA,Planned
Los Angeles Clippers,Atlanta Hawks,2021-03-22,Planned,NBA,Planned
Houston Rockets,Toronto Raptors,2021-03-22,Planned,NBA,Planned
Orlando Magic,Denver Nuggets,2021-03-23,Planned,NBA,Planned
New Orleans Pelicans,Los Angeles Lakers,2021-03-23,Planned,NBA,Planned
New York Knicks,Washington Wizards,2021-03-23,Planned,NBA,Planned
Miami Heat,Phoenix Suns,2021-03-23,Planned,NBA,Planned
Golden State Warriors,Philadelphia 76ers,2021-03-23,Planned,NBA,Planned
Portland Trail Blazers,Brooklyn Nets,2021-03-23,Planned,NBA,Planned
Utah Jazz,Brooklyn Nets,2021-03-24,Planned,NBA,Planned
Toronto Raptors,Denver Nuggets,2021-03-24,Planned,NBA,Planned
Chicago Bulls,Cleveland Cavaliers,2021-03-24,Planned,NBA,Planned
Houston Rockets,Charlotte Hornets,2021-03-24,Planned,NBA,Planned
Minnesota Timberwolves,Dallas Mavericks,2021-03-24,Planned,NBA,Planned
Oklahoma City Thunder,Memphis Grizzlies,2021-03-24,Planned,NBA,Planned
Orlando Magic,Phoenix Suns,2021-03-24,Planned,NBA,Planned
San Antonio Spurs,Los Angeles Clippers,2021-03-24,Planned,NBA,Planned
Sacramento Kings,Atlanta Hawks,2021-03-24,Planned,NBA,Planned
Indiana Pacers,Detroit Pistons,2021-03-24,Planned,NBA,Planned
Milwaukee Bucks,Boston Celtics,2021-03-24,Planned,NBA,Planned
Miami Heat,Portland Trail Blazers,2021-03-25,Planned,NBA,Planned
Los Angeles Lakers,Philadelphia 76ers,2021-03-25,Planned,NBA,Planned
San Antonio Spurs,Los Angeles Clippers,2021-03-25,Planned,NBA,Planned
Sacramento Kings,Golden State Warriors,2021-03-25,Planned,NBA,Planned
New York Knicks,Washington Wizards,2021-03-25,Planned,NBA,Planned
Milwaukee Bucks,Boston Celtics,2021-03-26,Planned,NBA,Planned
Utah Jazz,Memphis Grizzlies,2021-03-26,Planned,NBA,Planned
Detroit Pistons,Brooklyn Nets,2021-03-26,Planned,NBA,Planned
Toronto Raptors,Phoenix Suns,2021-03-26,Planned,NBA,Planned
Charlotte Hornets,Miami Heat,2021-03-26,Planned,NBA,Planned
Minnesota Timberwolves,Houston Rockets,2021-03-26,Planned,NBA,Planned
New Orleans Pelicans,Denver Nuggets,2021-03-26,Planned,NBA,Planned
Orlando Magic,Portland Trail Blazers,2021-03-26,Planned,NBA,Planned
Dallas Mavericks,Indiana Pacers,2021-03-26,Planned,NBA,Planned
